dataset,model,mae,rmse,smape,mase
chronos_monash_m1_yearly,chronos:amazon/chronos-t5-tiny,983154.4629114426,1066757.5649352074,0.3172907244414091,6.948978573083878
chronos_monash_m1_yearly,seasonal_naive,989133.7247715279,1076983.3435761258,0.3187819395214319,7.336289030313492
chronos_monash_m1_yearly,arma,1020184.5029036797,1132356.4395452985,0.3468288811855018,7.5742169439792635
external_national_illness,chronos:amazon/chronos-t5-tiny,93045.9609375,127801.8984375,0.0641404390335083,1.0775903463363647
external_national_illness,seasonal_naive,153627.328125,246659.078125,0.11638595908880234,1.779199481010437
external_national_illness,arma,887030.8125,889488.75,0.8255660533905029,10.272942543029785
