dataset,item_id,model,mae,rmse,smape,mase,error
chronos_monash_m1_yearly,17:target,arma,341833.78125,400944.71875,0.41811028122901917,6.1717119216918945,
chronos_monash_m1_yearly,18:target,chronos:amazon/chronos-t5-tiny,3533.1533203125,3950.787353515625,0.4133588373661041,9.037931442260742,
chronos_monash_m1_yearly,18:target,seasonal_naive,3184.524658203125,3504.778564453125,0.363640159368515,8.146126747131348,
chronos_monash_m1_yearly,18:target,arma,3516.640869140625,3847.246337890625,0.410845547914505,8.995692253112793,
chronos_monash_m1_yearly,19:target,chronos:amazon/chronos-t5-tiny,2689.5703125,3350.21484375,0.18660855293273926,1.001116156578064,
chronos_monash_m1_yearly,19:target,seasonal_naive,3223.838623046875,4468.22314453125,0.21547238528728485,1.1999824047088623,
chronos_monash_m1_yearly,19:target,arma,2552.155029296875,3282.461669921875,0.1741449236869812,0.9499672651290894,
external_national_illness,OT,chronos:amazon/chronos-t5-tiny,93045.9609375,127801.8984375,0.0641404390335083,1.0775903463363647,
external_national_illness,OT,seasonal_naive,153627.328125,246659.078125,0.11638595908880234,1.779199481010437,
external_national_illness,OT,arma,887030.8125,889488.75,0.8255660533905029,10.272942543029785,
