dataset,item_id,model,mae,rmse,smape,mase,error
chronos_m1_yearly,10:target,arma,1042.4168701171875,1333.1510009765625,0.11711547523736954,3.0267622470855713,
chronos_m1_yearly,10:target,prophet,1099.7431640625,1453.02490234375,0.11436154693365097,3.1932148933410645,
chronos_m1_yearly,10:target,deepar,,,,,"Invalid frequency: YE-DEC, failed to parse with error message: ValueError(""for Period, please use 'Y-DEC' instead of 'YE-DEC'"")"
chronos_m1_yearly,11:target,chronos:amazon/chronos-t5-tiny,660876.25,824025.5,0.26385509967803955,10.152939796447754,
chronos_m1_yearly,11:target,seasonal_naive,903185.0,1075592.375,0.3888120949268341,13.87549114227295,
chronos_m1_yearly,11:target,arma,812362.75,1003800.0625,0.3394470512866974,12.480203628540039,
chronos_m1_yearly,11:target,prophet,1128341.875,1229595.75,0.5258854031562805,17.33454132080078,
chronos_m1_yearly,11:target,deepar,,,,,"Invalid frequency: YE-DEC, failed to parse with error message: ValueError(""for Period, please use 'Y-DEC' instead of 'YE-DEC'"")"
chronos_m1_yearly,12:target,chronos:amazon/chronos-t5-tiny,11493.4580078125,13885.2470703125,0.19464974105358124,7.7627644538879395,
chronos_m1_yearly,12:target,seasonal_naive,15262.0830078125,18264.08203125,0.26226428151130676,10.308120727539062,
chronos_m1_yearly,12:target,arma,15195.3046875,18248.9609375,0.26089218258857727,10.263018608093262,
chronos_m1_yearly,12:target,prophet,20885.9296875,25295.68359375,0.38736438751220703,14.106507301330566,
chronos_m1_yearly,12:target,deepar,,,,,"Invalid frequency: YE-DEC, failed to parse with error message: ValueError(""for Period, please use 'Y-DEC' instead of 'YE-DEC'"")"
chronos_m1_yearly,13:target,chronos:amazon/chronos-t5-tiny,102388.9453125,115542.1015625,0.1335972398519516,1.9554390907287598,
chronos_m1_yearly,13:target,seasonal_naive,119970.5,155516.109375,0.15581543743610382,2.2912142276763916,
chronos_m1_yearly,13:target,arma,106508.7265625,117425.890625,0.14230933785438538,2.0341193675994873,
chronos_m1_yearly,13:target,prophet,276747.53125,354896.4375,0.30469587445259094,5.285365104675293,
chronos_m1_yearly,13:target,deepar,,,,,"Invalid frequency: YE-DEC, failed to parse with error message: ValueError(""for Period, please use 'Y-DEC' instead of 'YE-DEC'"")"
chronos_m1_yearly,14:target,chronos:amazon/chronos-t5-tiny,513.4404907226562,589.068359375,0.390100359916687,9.767977714538574,
chronos_m1_yearly,14:target,seasonal_naive,477.5,538.7030029296875,0.3567599356174469,9.08422565460205,
chronos_m1_yearly,14:target,arma,656.1465454101562,741.7791137695312,0.5353073477745056,12.48289680480957,
chronos_m1_yearly,14:target,prophet,348.4879455566406,392.7036437988281,0.24683578312397003,6.629828453063965,
chronos_m1_yearly,14:target,deepar,,,,,"Invalid frequency: YE-DEC, failed to parse with error message: ValueError(""for Period, please use 'Y-DEC' instead of 'YE-DEC'"")"
chronos_m1_yearly,15:target,chronos:amazon/chronos-t5-tiny,0.3546689450740814,0.40903931856155396,0.03993817791342735,1.964924931526184,
chronos_m1_yearly,15:target,seasonal_naive,0.44166693091392517,0.47189363837242126,0.050011854618787766,2.4469082355499268,
chronos_m1_yearly,15:target,arma,0.389843612909317,0.44462135434150696,0.04400762543082237,2.1597983837127686,
chronos_m1_yearly,15:target,prophet,0.24945847690105438,0.2847447395324707,0.026932507753372192,1.3820414543151855,
chronos_m1_yearly,15:target,deepar,,,,,"Invalid frequency: YE-DEC, failed to parse with error message: ValueError(""for Period, please use 'Y-DEC' instead of 'YE-DEC'"")"
chronos_m1_yearly,16:target,chronos:amazon/chronos-t5-tiny,31618.033203125,38353.9921875,0.3825799226760864,3.4955313205718994,
chronos_m1_yearly,16:target,seasonal_naive,23036.783203125,28277.833984375,0.25906434655189514,2.5468313694000244,
chronos_m1_yearly,16:target,arma,39613.62890625,46646.6484375,0.512294590473175,4.379484176635742,
chronos_m1_yearly,16:target,prophet,16253.6376953125,18581.130859375,0.1753360480070114,1.7969207763671875,
chronos_m1_yearly,16:target,deepar,,,,,"Invalid frequency: YE-DEC, failed to parse with error message: ValueError(""for Period, please use 'Y-DEC' instead of 'YE-DEC'"")"
chronos_m1_yearly,17:target,chronos:amazon/chronos-t5-tiny,310073.96875,370789.96875,0.36943402886390686,5.598297595977783,
