source_run,dataset,model,mae,rmse,smape,mase,rain_occurrence_error,positive_mae,wql,wql_macro,wql_median,successful_runs,failed_runs,diagnostic_model,evaluated_tasks,successful_tasks,failed_tasks,total_duration_seconds
heavier_chronos,chronos_car_parts,chronos_t5_small,0.4404855199964144,0.7074992313545245,1.141092840830485,0.7156193944114542,0.2861111111111111,1.3175516843154866,1.0181594118758612,1.2600531788625162,1.000000007546101,120,0,False,40,40,0,34.91353830098888
heavier_chronos,chronos_car_parts,chronos_t5_mini,0.4659503043503858,0.7479498959641951,1.1321634521087012,0.7312892264226535,0.2854166666666666,1.3104810179561697,1.0437788814236473,1.2992212415881197,1.0000000433841096,120,0,False,40,40,0,26.851605395029765
heavier_chronos,chronos_car_parts,chronos_t5_large,0.4737959734659689,0.7353875395716526,1.0947997639576594,0.745802139791482,0.2972222222222222,1.1963952315110031,1.064514550722962,1.3281344841290317,1.0061728490792494,120,0,False,40,40,0,91.78626214100586
heavier_chronos,chronos_car_parts,chronos_t5_base,0.5099133088748949,0.7812721207302111,1.1060958430171013,0.7626859850149047,0.29375,1.268904907408581,1.1357426336034426,1.423915363524097,1.0000000433841096,120,0,False,40,40,0,53.59043455599749
heavier_chronos,chronos_m1_yearly,chronos_t5_small,355925.13280373416,420575.15562197234,0.2807692767224378,3.5964360083680136,,,0.1175257143054746,0.213023067817481,0.1391481379171455,180,0,False,60,60,0,19.733086268985065
heavier_chronos,chronos_m1_yearly,chronos_t5_mini,356774.03104224004,423141.484745378,0.2710981122942434,3.687533952294877,,,0.1194028945652665,0.209801905135005,0.1811257467008115,180,0,False,60,60,0,18.13801812996462
heavier_chronos,chronos_m1_yearly,chronos_t5_large,359199.9202002446,424820.5890420391,0.2717066855273313,3.4174582819466037,,,0.1190727241847799,0.2082511630178806,0.133877069077149,180,0,False,60,60,0,512.6708562660388
heavier_chronos,chronos_m1_yearly,chronos_t5_base,360948.6960639636,427426.5942412138,0.2703154251755525,3.4440466096999054,,,0.1181821904711925,0.2061442084193658,0.1363238066441303,180,0,False,60,60,0,135.80936341099004
heavier_chronos,chronos_m3_quarterly,chronos_t5_base,540.1226147121853,631.3831329345703,0.120091548975971,1.2260813654177636,,,0.0867601495863699,0.0959369555002089,0.071818924958996,180,0,False,60,60,0,60.85561174302347
heavier_chronos,chronos_m3_quarterly,chronos_t5_large,542.7467524210612,638.9923098034329,0.1196762255186008,1.2049642216315084,,,0.0877031121735897,0.0961817371962582,0.0684428408506294,180,0,False,60,60,0,99.16575498400198
heavier_chronos,chronos_m3_quarterly,chronos_t5_small,572.0112355550131,670.0562856038412,0.1287269908210469,1.306179755155975,,,0.0921444088884314,0.1020333322911913,0.0755325354259068,180,0,False,60,60,0,37.29217930199593
heavier_chronos,chronos_m3_quarterly,chronos_t5_mini,578.6804321289062,675.2971722073025,0.1309213178439272,1.3588949860514017,,,0.092453530543823,0.102821560069523,0.080904074856614,180,0,False,60,60,0,30.190357318006136
heavier_chronos,chronos_m4_hourly,chronos_t5_large,122.2493707375601,161.49102098778303,0.0657168976108854,0.5240041274003964,,,0.0267682965521864,0.0535282486122394,0.0173973373277268,180,0,False,60,60,0,5193.760039480974
heavier_chronos,chronos_m4_hourly,chronos_t5_base,124.02260016474044,162.1298516858783,0.0670650979465184,0.5430985823643637,,,0.0281643422583052,0.0542600363926934,0.0167607536037549,180,0,False,60,60,0,277.6144831970014
heavier_chronos,chronos_m4_hourly,chronos_t5_small,141.3829479019675,180.06275926255103,0.0691401778125307,0.6092493393971843,,,0.0308070241641743,0.0554560106573715,0.0185751347280506,180,0,False,60,60,0,168.5787584979953
heavier_chronos,chronos_m4_hourly,chronos_t5_mini,142.5281363832454,188.60148504144613,0.0775716088932111,0.7269925929573264,,,0.0310575568419285,0.063584082645073,0.0208256522816817,180,0,False,60,60,0,133.0464556129882
heavier_chronos,chronos_nn5_weekly,chronos_t5_large,15.825865523020427,20.01814121670193,0.1163257812460263,0.8857014458906262,,,0.0905053798086879,0.0937194794804618,0.0910597394521087,180,0,False,60,60,0,98.47198764501807
heavier_chronos,chronos_nn5_weekly,chronos_t5_base,16.39368464152018,20.629129648208615,0.1194298848302828,0.9069557637796872,,,0.093767668628226,0.0961645501417515,0.092704403564899,180,0,False,60,60,0,56.05677579100666
heavier_chronos,chronos_nn5_weekly,chronos_t5_small,16.62807437049018,20.995858091778224,0.1200638919654819,0.923342904705678,,,0.0954088218434671,0.0967717233528723,0.0940287279475252,180,0,False,60,60,0,35.974385665958835
