dataset,model,mae,rmse,smape,mase,rain_occurrence_error,positive_mae,wql,wql_macro,wql_median,successful_runs,failed_runs,diagnostic_model,evaluated_tasks,successful_tasks,failed_tasks,total_duration_seconds
chronos_car_parts,moirai_2_0_small,0.38608613523247187,0.6353176173142856,1.8278506353497506,0.6904499384193439,0.7354166666666667,1.3685158942976305,0.932476161130848,1.0773181807842451,1.0014481498959875,40,0,False,40,40,0,0.4704621609980677
chronos_car_parts,timesfm_2_5_200m,0.41374487433240575,0.6445732874752139,1.4827000621706248,0.7042759750599397,0.6354166666666667,1.2852573317866172,0.9631729571074986,1.1488705092461875,0.9964087199751455,40,0,False,40,40,0,8.622138738998729
chronos_car_parts,chronos_t5_tiny,0.4693178713506756,0.7428968769372799,1.1373778780301411,0.7366753897053607,0.3006944444444445,1.3094611776772367,1.0439728279617326,1.2632972077587723,1.000001516045477,120,0,False,40,40,0,24.754292316007195
chronos_car_parts,deepar,0.5174827138180628,0.7898542366075263,1.7513274026935202,0.7638089341295874,0.5375,1.4709435755847602,1.3483566020706368,1.3500933684809215,1.0014253401089406,120,0,False,40,40,0,793.4885758559876
chronos_car_parts,arima_2_1_2,0.5383820969727822,0.710402637720108,1.704496992751956,0.9440384656201454,0.7166666666666667,1.2046955910421187,1.1728076529846418,1.5282303852590378,1.2658446446822476,40,0,False,40,40,0,0.9931107329985025
chronos_car_parts,auto_arima,0.6325409846147523,0.802343744947575,1.6880447592586278,1.0628285224199072,0.74375,1.2397108907180447,1.3815894427046762,2.5599448473683872,1.2269672736602162,40,0,False,40,40,0,6.802680536002299
chronos_car_parts,seasonal_naive,0.6437500039115548,1.0662909984588622,0.6734523929655551,1.1530389869877908,0.31875,1.4468893985594473,1.744047617125842,2.14606862382136,1.7272727232087741,40,0,False,40,40,0,0.027950063003117975
chronos_car_parts,prophet,1.3485629595195254,1.6965509496629239,1.7456642138461271,2.2597998628897344,0.5180555555555555,1.812073190846751,3.0307494781536968,4.460948456378007,3.020093829185416,120,0,False,40,40,0,14.377565817002505
chronos_m1_yearly,deepar,266028.0850106279,289227.21358639,0.3022565245628357,4.971618514363939,,,0.08552649171009348,0.3232096383721439,0.20078816006045314,180,0,False,60,60,0,638.5113117470023
chronos_m1_yearly,arima_2_1_2,266771.87085392873,312640.1730043749,0.22877617843138676,3.2620834230774736,,,0.08268479906864493,0.22102376382851122,0.12959233773900225,60,0,False,60,60,0,1.6906235820015354
chronos_m1_yearly,chronos_t5_tiny,279319.9757156319,338915.60465351015,0.24603431449375218,3.2522159491335842,,,0.09443445499098743,0.1930720601099036,0.14085816839973234,180,0,False,60,60,0,15.959579508001298
chronos_m1_yearly,prophet,300841.39890565077,336622.62707516487,0.2373376733933886,3.184079841542046,,,0.10436653607623439,0.20839850878177563,0.15022919788095077,180,0,False,60,60,0,16.204598841999086
chronos_m1_yearly,timesfm_2_5_200m,316940.93052696984,369835.82887251774,0.24612999469973146,3.128922193404199,,,0.10567835107556899,0.18175839711198563,0.11715094604122772,60,0,False,60,60,0,10.508781777999502
chronos_m1_yearly,auto_arima,352893.12252292834,419984.59680082597,0.2153149326797575,2.830153036654564,,,0.107402170059862,0.16495030456044044,0.11892115004995354,60,0,False,60,60,0,9.025120259999312
chronos_m1_yearly,seasonal_naive,361958.8687311927,434453.29560481705,0.2402330044656992,3.417167364531551,,,0.14751668688298622,0.23951931678484673,0.1690468065084192,60,0,False,60,60,0,0.03290590000051452
chronos_m1_yearly,moirai_2_0_small,379299.06303259137,437484.2777221123,0.2512421795787911,3.507150059754514,,,0.121565395888851,0.1895941971860871,0.15850843545267015,60,0,False,60,60,0,1.341356122000434
chronos_m3_quarterly,timesfm_2_5_200m,477.211984761556,566.6637479146322,0.10827433747860292,1.1451755285515666,,,0.07761616173284047,0.08340771801074112,0.060539699759888974,60,0,False,60,60,0,11.916417833006562
chronos_m3_quarterly,auto_arima,545.4391525268554,641.7550674438477,0.11926421074507138,1.2778454279984104,,,0.08464251213135984,0.09234296977430473,0.07225989555242905,60,0,False,60,60,0,11.645594778998202
