dataset,model,mae,rmse,smape,mase,rain_occurrence_error,positive_mae,wql,wql_macro,wql_median,successful_runs,failed_runs,diagnostic_model,evaluated_tasks,successful_tasks,failed_tasks,total_duration_seconds
chronos_car_parts,seasonal_naive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,False,1,1,0,0.0005012130000068282
chronos_car_parts,auto_arima,0.07954338192939758,0.2737809717655182,1.983644962310791,0.11931506933823022,0.9166666666666666,0.9484033584594727,4.504870270032564,4.504870270032564,4.504870270032564,1,0,False,1,1,0,0.09813171199994031
chronos_car_parts,chronos_t5_tiny,0.0833333358168602,0.28867512941360474,1.4144002199172974,0.125,0.08333333333333333,1.0,1.466701878275345,1.466701878275345,1.466701878275345,1,0,False,1,1,0,0.1290995550000389
chronos_car_parts,moirai_2_0_small,0.0856013223528862,0.2895713746547699,2.0,0.1284019797026521,0.5833333333333334,1.0030615329742432,1.0543932262972686,1.0543932262972686,1.0543932262972686,1,0,False,1,1,0,0.010640555000009044
chronos_car_parts,arima_2_1_2,0.14458633959293365,0.2756783068180084,1.976156234741211,0.21687950292588762,0.9166666666666666,0.9229577779769897,4.687902612472958,4.687902612472958,4.687902612472958,1,0,False,1,1,0,0.017069359000061013
chronos_car_parts,prophet,0.8200497031211853,0.8980095386505127,2.0,1.2300745180227006,0.25,1.1718337535858154,7.02922131814318,7.02922131814318,7.02922131814318,1,0,False,1,1,0,0.12659981900014827
chronos_car_parts,deepar,,,,,,,,,,0,1,False,1,0,1,0.0001979539999865665
chronos_car_parts,timesfm_2_5_200m,,,,,,,,,,0,1,False,1,0,1,0.3297016489998441
chronos_m1_yearly,arima_2_1_2,0.39859339594841003,0.4903544783592224,0.09290479868650436,2.14297571126222,,,0.06833112822385926,0.06833112822385926,0.06833112822385926,1,0,False,1,1,0,0.20109726700002284
chronos_m1_yearly,deepar,0.42709600925445557,0.45466750860214233,0.10162364691495895,2.2962156009423302,,,0.09614893822320997,0.09614893822320997,0.09614893822320997,1,0,False,1,1,0,3.3390224300001137
chronos_m1_yearly,prophet,0.82355135679245,0.8945798277854919,0.20831900835037231,4.427696425787475,,,0.18250543569011876,0.18250543569011876,0.18250543569011876,1,0,False,1,1,0,0.1578353459999562
chronos_m1_yearly,chronos_t5_tiny,0.8884736895561218,1.0281916856765747,0.22516173124313354,4.776741301204927,,,0.1678707977868501,0.1678707977868501,0.1678707977868501,1,0,False,1,1,0,2.360405638999964
chronos_m1_yearly,seasonal_naive,0.9116666913032532,1.0436075925827026,0.2319755107164383,4.90143488599728,,,0.21442572767436227,0.21442572767436227,0.21442572767436227,1,0,False,1,1,0,0.0005230730000675976
chronos_m1_yearly,moirai_2_0_small,1.1855931282043457,1.3340810537338257,0.3155941963195801,6.374157984067931,,,0.24216116181284678,0.24216116181284678,0.24216116181284678,1,0,False,1,1,0,25.825835736000045
chronos_m1_yearly,auto_arima,5.882955551147461,8.110977172851562,0.6485455632209778,31.62880013741117,,,1.3717596970637043,1.3717596970637043,1.3717596970637043,1,0,False,1,1,0,0.18733001200007493
chronos_m1_yearly,timesfm_2_5_200m,,,,,,,,,,0,1,False,1,0,1,377.2304122190001
chronos_m3_quarterly,moirai_2_0_small,140.1861572265625,157.1776885986328,0.03608328849077225,0.4268827140760654,,,0.032494399372130806,0.032494399372130806,0.032494399372130806,1,0,False,1,1,0,0.007961555999827397
chronos_m3_quarterly,chronos_t5_tiny,263.4879150390625,280.4389343261719,0.06661104410886765,0.8023505210741756,,,0.04810008596692905,0.04810008596692905,0.04810008596692905,1,0,False,1,1,0,0.09278123100011726
chronos_m3_quarterly,auto_arima,316.0225830078125,335.6123046875,0.07929939031600952,0.962324530557443,,,0.05579967104486535,0.05579967104486535,0.05579967104486535,1,0,False,1,1,0,0.15029293299994606
chronos_m3_quarterly,arima_2_1_2,321.94305419921875,341.710205078125,0.08071697503328323,0.9803530353741639,,,0.05714784897183853,0.05714784897183853,0.05714784897183853,1,0,False,1,1,0,0.0332892180001636
chronos_m3_quarterly,seasonal_naive,480.79998779296875,502.5689697265625,0.11760585755109787,1.4640903765205122,,,0.12501461563148045,0.12501461563148045,0.12501461563148045,1,0,False,1,1,0,0.0007202640001651162
chronos_m3_quarterly,prophet,1153.6629638671875,1203.0198974609375,0.25930556654930115,3.513034288747504,,,0.2845473497037168,0.2845473497037168,0.2845473497037168,1,0,False,1,1,0,0.16567980500008161
chronos_m3_quarterly,deepar,1733.589111328125,1796.987060546875,0.36493393778800964,5.278975039885332,,,0.43333507923875497,0.43333507923875497,0.43333507923875497,1,0,False,1,1,0,4.199634272000139
chronos_m3_quarterly,timesfm_2_5_200m,,,,,,,,,,0,1,False,1,0,1,0.3354556169999796
chronos_m4_hourly,timesfm_2_5_200m,0.06210239604115486,0.07997699081897736,0.0031440367456525564,0.41401595715618306,,,0.0026109085636705533,0.0026109085636705533,0.0026109085636705533,1,0,False,1,1,0,0.29716832100007196
chronos_m4_hourly,moirai_2_0_small,0.0836772546172142,0.11343986541032791,0.004336715210229158,0.5578483419478598,,,0.003439593771350972,0.003439593771350972,0.003439593771350972,1,0,False,1,1,0,0.011697224000045026
chronos_m4_hourly,chronos_t5_tiny,0.08546924591064453,0.11147627979516983,0.004362849984318018,0.5697949500960131,,,0.0032440602248821403,0.0032440602248821403,0.0032440602248821403,1,0,False,1,1,0,1.1335821479999595
chronos_m4_hourly,prophet,0.17804424464702606,0.22873243689537048,0.009283842518925667,1.186961583814558,,,0.006933001095586191,0.006933001095586191,0.006933001095586191,1,0,False,1,1,0,0.12874684499979594
chronos_m4_hourly,seasonal_naive,0.2520831525325775,0.2704162001609802,0.012500087730586529,1.680554283437956,,,0.012120596066096728,0.012120596066096728,0.012120596066096728,1,0,False,1,1,0,0.0005437700001493795
chronos_m4_hourly,deepar,0.3571435511112213,0.4407218396663666,0.018298596143722534,2.380956912797415,,,0.013381374459607435,0.013381374459607435,0.013381374459607435,1,0,False,1,1,0,8.677867821999826
chronos_m4_hourly,arima_2_1_2,1.9997726678848267,2.38814377784729,0.09536155313253403,13.331817256140024,,,0.0708383092493007,0.0708383092493007,0.0708383092493007,1,0,False,1,1,0,0.13960573300005308
chronos_m4_hourly,auto_arima,2.4822731018066406,3.1776866912841797,0.1176709532737732,16.548486687799823,,,0.09397324082663885,0.09397324082663885,0.09397324082663885,1,0,False,1,1,0,0.6222815709998031
chronos_nn5_weekly,arima_2_1_2,10.967134475708008,16.79395294189453,0.14025333523750305,0.8714852142577453,,,0.1276231074534315,0.1276231074534315,0.1276231074534315,1,0,False,1,1,0,0.032815216000017244
chronos_nn5_weekly,auto_arima,11.252241134643555,17.16480827331543,0.14438821375370026,0.8941407436760361,,,0.12929618752862265,0.12929618752862265,0.12929618752862265,1,0,False,1,1,0,0.15187967800011393
chronos_nn5_weekly,moirai_2_0_small,11.268342971801758,18.016355514526367,0.14423491060733795,0.8954202495521464,,,0.13174667611714624,0.13174667611714624,0.13174667611714624,1,0,False,1,1,0,0.01025457700006882
chronos_nn5_weekly,prophet,11.286937713623047,17.14596176147461,0.14440268278121948,0.8968978499769509,,,0.1293421895667186,0.1293421895667186,0.1293421895667186,1,0,False,1,1,0,0.03459186600002795
chronos_nn5_weekly,chronos_t5_tiny,12.905200958251953,18.510385513305664,0.1672343909740448,1.0254904639906322,,,0.13679720333968412,0.13679720333968412,0.13679720333968412,1,0,False,1,1,0,0.151747240000077
chronos_nn5_weekly,deepar,14.896379470825195,20.003536224365234,0.19604605436325073,1.18371617340442,,,0.17510444801375927,0.17510444801375927,0.17510444801375927,1,0,False,1,1,0,4.775405135000028
chronos_nn5_weekly,seasonal_naive,17.714359283447266,22.814645767211914,0.21323493123054504,1.407642281561164,,,0.225576171172488,0.225576171172488,0.225576171172488,1,0,False,1,1,0,0.000557241000024078
